"nombre","ciudad_provincia","accion_erasmus","email","fuente_nombre","fuente_email","notas"
"Federación de Asociaciones Juveniles para la Movilidad Europea","Galicia","KA152","no encontrado","https://programaseuropeos.injuve.es/sites/main/files/2025-08/resoluci%C3%B3n%20concesi%C3%B3n%20erasmus_juventud%202025_ronda%201_ka1.pdf.xsig_.pdf","N/A","Sin web/email localizable; posible acrónimo o razón social distinta"
"Fundación Canaria de Juventud Ideo","Las Palmas de Gran Canaria y Sta. Cruz de Tenerife","KA154","info@fundacionideo.com","https://www.gobiernodecanarias.org/juventud/fundacion-canaria-de-juventud-ideo/index.html","https://fundacionideo.org/contactus","Dominio del email (.com) difiere del dominio de la web (.org)"
"Federación Portugaleteko Aisialdi Sarea","Portugalete, Bizkaia","KA151, KA154","aisialdisarea@aisialdisarea.org","https://kiribilsarea.org/es-entidades&nodo_Id=299&rel=entidades","https://www.aisialdisarea.org/",""
"Fundación Harribide","Etxebarri, Bizkaia","KA151","info@harribide.org","https://www.euskadi.eus/gobierno-vasco/-/fundacion/harribide-fundazioa/","https://harribide.org/es/contacto/",""
"KAEB-NAI Kultur Arteko Ekintza Berria Nueva Acción Intercultural","Donostia/San Sebastián, Gipuzkoa","KA151, KA154","kaebnai@gmail.com","https://www.euskadi.eus/gobierno-vasco/-/asociacion/asociacion-kaeb-nai-kultur-arteko-ekintza-berria-nueva-accion-intercultural/","https://www.kaebnai.net/kontaktua-contacto",""
"Federació d'Entitats Llatinoamericanes de Catalunya (Fedelatina)","Barcelona","KA153, KA154","administracion@fedelatina.org","https://fedelatina.org/","https://fedelatina.org/contact",""
"Global Ecovillage Network of Europe","Navarra (ecoaldea Arterra Bizimodu, Artieda)","KA153","membership@gen-europe.org","https://gen-europe.org/","https://gen-europe.org/membership-and-application/","Red internacional con NIF de no residente; sin email genérico tipo info@"
"Hola Ghana ONGD","Santander, Cantabria","KA153","hola@holaghana.org","https://www.holaghana.org","https://www.holaghana.org","Web en http (no https); verificar vigencia"
"Fundació Catalunya Voluntària","Barcelona","KA151, KA152, KA153","info@catalunyavoluntaria.cat","https://www.catalunyavoluntaria.cat/es/fundacio-catalunya-voluntaria/","https://www.catalunyavoluntaria.cat/contacte/",""
"Asociación Red Ibérica de Ecoaldeas","Lakabe, Navarra","KA153","riecoordinacion@gmail.com","https://ecoaldeas.org/la-rie/","https://ecoaldeas.org/la-rie/",""
"AHEAD - Association of Human Rights Educators","Barcelona","KA151","ahead@aheadedu.org","https://aheadedu.org/en/ahead-team/","https://aheadedu.org/en/ahead-team/",""
"Youthproaktiv Spain","Madrid","KA151, KA210","pcantero@youthproaktiv.org","https://youthproaktiv.org/about/team/","https://youthproaktiv.org/about/team/","CAUTELA: no se confirmó web propia separada de la entidad española (CIF G87182226); email es de la CEO, no genérico"
"Asociación Arousa Moza","Vilagarcía de Arousa, Pontevedra","KA151, KA154, KA210","arousamoza@gmail.com","https://arousamoza.eu/contacto/","https://arousamoza.eu/contacto/",""
"Federación Euskal Eskautak Bizkaia de Bilbao","Bilbao","KA154","bizkaia@eskaut.org","https://bizkaia.eskaut.org/","https://bizkaia.eskaut.org/contacto/",""
"Kiribil Sarea","Bilbao","KA154, KA210","gerencia@kiribilsarea.org","https://kiribilsarea.org/","https://kiribilsarea.org/es/somos/contacto/",""
"Associació de Xarxa Inca Catalunya (INCA)","Barcelona","KA151","info@inca-cat.org","https://inca-cat.org/en/inca/","https://inca-cat.org/en/inca/",""
"International Initiatives for Cooperation Galicia","Mazaricos, Galicia","KA151, KA154","no encontrado","https://www.facebook.com/IICGal/","N/A","Sin web propia; solo Facebook, no accesible vía scraping"
"Movimiento Scout Católico","Madrid","KA154","no encontrado","https://scouts.es/","N/A","Web oficial sólida, pero página de contacto solo tiene teléfono y formulario, sin email visible"
"Fundación Alianza por los Derechos, la Igualdad y la Solidaridad Internacional (ActionAid España)","Sevilla / Madrid","KA151, KA154","hola@actionaid.org","https://actionaid.es/contacto/","https://actionaid.es/contacto/","CIF G78426558 confirmado en pie de página de actionaid.es; opera bajo la marca comercial ActionAid España"
"Imparables","Cúllar Vega, Granada","KA153, KA154","imparablesasociacion@gmail.com","https://sites.google.com/view/imparablesasociacion","https://sites.google.com/view/imparablesasociacion",""
"Coordinadora Estatal de Plataformas Sociales Salesianas","Madrid","KA210 (denegada)","info@psocialessalesianas.org","https://psocialessalesianas.org/","https://psocialessalesianas.org/quienes-somos/contacto/",""
"Confederación Nacional de Antiguos Alumnos y Antiguas Alumnas de Don Bosco","Madrid","KA210 (denegada)","info@confedebosco.es","https://confedebosco.es/","https://confedebosco.es/",""
"AC Amics de la Biblioteca de la Fonteta","Agres/Silla, Comunidad Valenciana","KA151, KA155, KA220","web@amics.eu","https://www.amics.eu/?page_id=2","https://www.amics.eu/?page_id=879",""
"JEF España (posible correspondencia con 'Federación de Asociaciones Jóvenes Europeístas de España', KA210)","Estatal","KA210","info@jefspain.org","https://www.jefspain.org/","https://www.jefspain.org/equipo","CAUTELA: no confirmado que sea la misma entidad exacta con CIF G86441235 del listado INJUVE; nombre muy similar pero no idéntico"
"Fundació Catalana de l'Esplai (entidad KA210, distinta CIF de la Federació anterior)","El Prat de Llobregat, Barcelona","KA210","fundacio@fundesplai.org","https://fundesplai.org/","https://fundesplai.org/","Grupo Fundesplai tiene varias figuras legales (Fundació/Federació) con CIFs distintos"
"Asoc AIGB (de Investigaciones Geobiológicas)","Canarias","KA151, KA210","no encontrado","https://programaseuropeos.injuve.es/sites/main/files/2025-08/resoluci%C3%B3n%20concesi%C3%B3n%20erasmus_juventud%202025_ronda%201_ka1.pdf.xsig_.pdf","N/A","Sin web/email localizable"
"Asociación Manantial de Arte","Valle de Dílar, Granada","KA210","no encontrado","https://encc.eu/members/asociacion-manantial-de-arte","N/A","Sin email propio localizado; no confundir con Fundación Manantial (salud mental, entidad distinta)"
"Juventud Empoderada","Sevilla","KA210","juventudempoderadasevilla@gmail.com","https://cocemfesevilla.es/nuestras-asociaciones/juventud-empoderada","https://cocemfesevilla.es/nuestras-asociaciones/juventud-empoderada","Email publicado en la web de COCEMFE Sevilla, entidad matriz/colaboradora"
"Asociación Cultural Somos Europa","Granada","Erasmus+ (autodeclarado, KA1)","no encontrado","https://www.somoseuropa.eu/","https://www.salto-youth.net/tools/otlas-partner-finding/organisation/somos-europa.16129/","Solo redes sociales; perfil Otlas confirma actividad Erasmus+"
"Espamob Spain SL","Barcelona","Erasmus+ / CES (autodeclarado)","contact@espamob.com","https://www.espamob.com/en/contact/","https://www.espamob.com/en/contact/","Perfil también en Otlas"
"Youth Europa","Sevilla (también sede en Tartu, Estonia)","Erasmus+ (autodeclarado)","general@youtheuropa.org","https://www.youtheuropa.org/contact/","https://www.youtheuropa.org/contact/",""
"Youth BCN","Barcelona (Sant Martí)","Erasmus+ (coincide con actividad en Croacia, DB CORRADI)","hello@youthbcn.com","https://youthbcn.com/contact/","https://youthbcn.com/contact/","Ya conocida por CORRADI-BOT sin email; email localizado ahora"
"Asociación EuropeYou","Torremolinos, Málaga","Erasmus+ (autodeclarado)","info@europeyou.eu","https://europeyou.eu/","https://europeyou.eu/",""
"Jóvenes Europeístas de Madrid","Madrid","Erasmus+ (Otlas)","no encontrado","https://www.salto-youth.net/tools/otlas-partner-finding/organisation/jvenes-europestas-de-madrid.739/","N/A",""
"Asociación Ser Joven","Santander (Cantabria) / Palencia","CES / Erasmus+","info@ser-joven.org","https://ser-joven.org/","https://ser-joven.org/","Email de programas europeos: sve@ser-joven.org"
"Xeración Valencia","Gandia, Valencia","Erasmus+ (acreditada E10161492)","no encontrado","https://xeracionvalencia.org/contacto/","N/A","Web con problemas de conexión al consultar"
"Asociación Unicidad","Priego de Córdoba","Erasmus+ (autodeclarado)","no encontrado","https://www.asociacionunicidad.org/erasmus/","N/A",""
"Asociación Experientia","Valencia","Erasmus+ Youth Exchanges","info@asociacionexperientia.org","http://asociacionexperientia.org/en/youth-exchanges-erasmus/","http://asociacionexperientia.org/en/youth-exchanges-erasmus/",""
"Asociación Building Bridges (YesEuropa)","Madrid","CES","no encontrado","https://yeseuropa.org/cuerpo-europeo-solidaridad-espana/","N/A","Solo WhatsApp +34673402139 y formulario"
"Asociación Mundus","Badalona (Barcelona) / Zaragoza","CES (entidad de envío)","envios@asociacionmundus.com","https://www.asociacionmundus.com/voluntariado/ces/entidad-de-envio/","https://www.asociacionmundus.com/voluntariado/ces/entidad-de-envio/","Alternativas: info@asociacionmundus.com, comunicacion@asociacionmundus.com"
"Asociación Rumbo a Europa","Sevilla","Erasmus+ (autodeclarado)","asociacionrumboaeuropa@gmail.com","https://rumboaeuropa.com/","https://rumboaeuropa.com/",""
"Asociación Juvenil Inter (AJ Inter)","Jerez de la Frontera, Cádiz","Erasmus+ (autodeclarado)","asociacionjuvenilinter@gmail.com","http://ajinter.org/contacto/","http://ajinter.org/contacto/","Alt: info.ajinter@gmail.com"
"Mundojoven (gestión Erasmus+ Juventud, Murcia)","Murcia","Coordina Agencia Nacional junto a Injuve","participacion@listas.carm.es","https://www.mundojoven.org/contacto","https://www.mundojoven.org/contacto","ATENCION: es entidad institucional (co-gestiona la Agencia Nacional), no una asociación de base — incluir solo como referencia"
"Euro Mirada","No confirmada (vínculo también con Portugal)","Erasmus+ (ya conocida por CORRADI-BOT)","euromirada@gmail.com","https://euromirada.es/","https://euromirada.es/","Alt ya conocida: proyectos@euromirada.es"
"Verbena (Verbena Espacio Creativo S.Coop.)","Biota (Cinco Villas) / Zaragoza","CES (ya conocida por CORRADI-BOT)","hola@verbenacoop.com","https://www.verbenacoop.com/","https://www.verbenacoop.com/",""
"Asociación Amanay","Fuerteventura, Canarias","Erasmus+ (ya conocida por CORRADI-BOT)","directivoamanay@gmail.com","https://www.salto-youth.net/tools/otlas-partner-finding/download/11190/2026%20PIF%20ASOCIACION%20AMANAY.pdf","https://www.salto-youth.net/tools/otlas-partner-finding/download/11190/2026%20PIF%20ASOCIACION%20AMANAY.pdf","Alt: erasmaypresidencia@gmail.com, erasmus.amanay@gmail.com (PIF Otlas)"
"Asociación Mo.SCA","Andalucía (ciudad exacta no localizada)","Erasmus+ KA153 (acreditada Injuve, ya conocida por CORRADI-BOT)","asociacionmosca@gmail.com","2024-1-ES02-KA153-YOU-000241674 (listado subvenciones Injuve)","no verificado independientemente en web propia","Email visto en mensaje real de CORRADI-BOT, no confirmado en web oficial"
"Asociación Vuelo","León (CIF G09969916)","Erasmus+ (ya conocida por CORRADI-BOT)","no encontrado","Diputación de León / SALTO-YOUTH","N/A","Solo presencia en Instagram @asociacion.vuelo"
"Asociación Juvenil Talasa (asoc.talasa)","Comunidad de Madrid","Erasmus+ (ya conocida por CORRADI-BOT)","asoc.talasa@gmail.com","https://asociaciontalasa.wixsite.com/talasa","https://asociaciontalasa.wixsite.com/talasa",""
"Fundación Adislaf","Zaragoza","Erasmus+ (ya conocida por CORRADI-BOT, como 'Fundación Adislaf con Área Activa')","info@adislaf.es","https://adislaf.es/index.php/la-fundacion/","https://adislaf.es/index.php/la-fundacion/","'Área Activa' no confirmado como entidad/programa propio; revisar nombre exacto en el mensaje original"
"Asociación Brújula Intercultural","Santa María del Campo, Burgos","Erasmus+ (acreditada Injuve)","info@asociacionbrujula.es","https://asociacionbrujula.es/contactosc/","https://asociacionbrujula.es/contactosc/",""
"Ticket2Europe","Pontevedra","Erasmus+ (acreditada Injuve)","info@ticket2europe.eu","https://ticket2europe.eu/contacto/","https://ticket2europe.eu/contacto/","Alt: comunicacion@ticket2europe.eu"
"Fundación Splora","Valladolid","Erasmus+ (acreditada Injuve)","hola@splora.es","https://www.splora.es/","https://www.splora.es/",""
"Asociación EuroMuévete","Málaga","Erasmus+ (acreditada Injuve)","info@euromuevete.org","https://euromuevete.org/","https://euromuevete.org/",""
"Asociación Cultural Euroacción Murcia","Murcia","Erasmus+ (acreditada Injuve)","info@euroaccion.com","https://euroaccion.com/contact/","https://euroaccion.com/contact/",""
"Boodaville","Barcelona (proyecto también en Caseres, Tarragona)","Erasmus+ (acreditada Injuve)","thegurney@gmail.com","https://boodaville.org/about-us/","https://boodaville.org/about-us/","CAUTELA: email personal, no institucional"
"Fundación Escuela de Solidaridad","Sierra Elvira, Atarfe (Granada)","Erasmus+ (acreditada Injuve)","edesolidaridad@gmail.com","https://www.escuelasolidaridad.org/erasmus/","https://www.escuelasolidaridad.org/erasmus/",""
"Asociación Avanfuer","Puerto del Rosario, Fuerteventura","Erasmus+ (acreditada Injuve)","no encontrado","https://avanfuer.org/","N/A","Contacto protegido en la web; tel. +34 609 567 196"
"AMEFE (Asociación Malagueña de Educación y Formación Europea)","Málaga","Erasmus+ (acreditada Injuve)","ameyfe@gmail.com","https://ameyfe.es/","https://ameyfe.es/","Alt: projects@ameyfe.es"
"Fundación Plan B Educación Social","Salamanca","Erasmus+ (acreditada Injuve)","contacto@planbeducacionsocial.com","https://planbeducacionsocial.com/","https://planbeducacionsocial.com/",""
"Asociación Juvenil Illipula","Purchena, Almería","Erasmus+ (acreditada Injuve)","no encontrado","https://www.linkedin.com/company/asociaci%C3%B3n-juvenil-illipula","N/A","Solo redes: Instagram @illipula.asocjuvenil"
"Proyecto Nagual","No confirmada","Erasmus+ (acreditada Injuve)","no encontrado","https://proyectonagual.es/","N/A","Solo formulario web"
"Asociación PLAN Be","Castilla y León (CIF G47714050)","Erasmus+ (acreditada Injuve)","no encontrado","listado acreditados Injuve","N/A","Entrada débil; posible solape parcial con Fundación Plan B Educación Social, verificar"
"AMECO - Asociación Medioambiental para la Conservación de Plantas y Animales","Andújar, Jaén","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","contacto@asociacionameco.org","https://asociacionameco.org/","https://asociacionameco.org/","Proyecto 'Patrulla Verde Europea'"
"Asociación Juvenil Intercambia","Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@intercambia.org","https://europaerestu.eu/","https://europaerestu.eu/","Activa en KA1, premiada por movilidad juvenil"
"Asociación Deportiva y Cultural Entrejuegos","Alameda, Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://asociacion-entrejuegos.weebly.com/","N/A","Solo redes sociales"
"Asociación Amigos de Europa","Lucena, Córdoba","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacionamigosdeeuropa@gmail.com","http://amigosdeeuropa.eu/","http://amigosdeeuropa.eu/",""
"Asociación Las Niñas del Tul","Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","tul@lasdeltul.net","https://lasdeltul.net/contacto/","https://lasdeltul.net/contacto/",""
"Asociación Cultural Somos la Otra","Íllora, Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","youth.europa.eu OID E10037554","N/A",""
"Asociación Grupo Desarrollo Rural Valle del Guadalhorce","Pizarra, Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@valledelguadalhorce.com","https://valledelguadalhorce.org/gdr/","https://valledelguadalhorce.org/gdr/","GDR LEADER, no asociación juvenil pura pero entidad válida"
"Asociación de Desarrollo Social Participativo Imagina","Álora, Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@asociacionimagina.com","https://asociacionimagina.com/","https://asociacionimagina.com/",""
"Asociación Europa 2020","Puente Genil, Córdoba","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Sin web propia"
"Asociación Caminos - Asociación para el Intercambio Educación y Desarrollo Social","España","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.asoccaminos.org/","N/A",""
"Asociación para el Desarrollo Juvenil y Cultural Almenaras","Rincón de la Victoria, Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Solo redes sociales"
"Asociación Juvenil Cultural Demeter","Andalucía","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación El Salero de Ideas","Huelva","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","huelvaelsalero@gmail.com","https://huelvaelsalero.wixsite.com/elsalerodeideas","https://huelvaelsalero.wixsite.com/elsalerodeideas",""
"Asociación Lego","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Nombre demasiado genérico"
"Asociación PAFF","Córdoba","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacionpaff@gmail.com","https://www.asociacionpaff.com/","https://www.asociacionpaff.com/",""
"Asociación Birdo","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Solo resolución Injuve KA220 2025"
"Asociación Cultural Simaya","Andalucía","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Proyecto 'Decoding AI 4 Youth'"
"Asociación Rota","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Nombre ambiguo con municipio de Rota"
"Los Portales Espacio Cooperativo","Castilblanco de los Arroyos, Sevilla","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@losportales.net","http://www.losportales.net/","http://www.losportales.net/","Ecoaldea/espacio cooperativo"
"Asociación Weleaderz Andalucía","Andalucía","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@weleaderz.com","https://www.weleaderz.com/contacto/","https://www.weleaderz.com/contacto/",""
"Asociación Mosaico Joven","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Casa Kuna","Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","espaciocasakuna@gmail.com","https://casakuna.org/acerca-de/","https://casakuna.org/acerca-de/",""
"Asociación Elísea","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Sello de calidad CES 2025"
"Asociación Fusiona Joven","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Creamos Europa","Jerez de la Frontera, Cádiz","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","creamoseuropa@gmail.com","https://creamoseuropa.com/","https://creamoseuropa.com/",""
"Asociación Rescate Verde","Alhaurín el Grande, Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacionrescateverde@gmail.com","https://www.asociacionrescateverde.com/","https://www.asociacionrescateverde.com/",""
"Asociación Juventud Activa","Huelva","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Web con error 404"
"Asociación Con Rumbo Propio","Puente Genil, Córdoba","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","conrumbopropio.info@gmail.com","https://conrumbopropio.wordpress.com/","https://conrumbopropio.wordpress.com/",""
"Asociación Juvenil El Nexo","Maracena, Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacionelnexo@gmail.com","https://www.asociacionelnexo.org/","https://www.asociacionelnexo.org/",""
"Asociación Natura Sin Basura","Almería (probable)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://naturasinbasura.org/","N/A","Solo redes sociales"
"Asociación Casa Desvío","Almería (probable)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Fundación Agua de Coco","Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacion@aguadecoco.org","https://aguadecoco.org/quienes-somos/","https://aguadecoco.org/quienes-somos/",""
"Asociación VALE (a favor de personas con discapacidad intelectual)","Dúrcal, Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","vale@asvale.org","https://asvale.org/quienes-somos/","https://asvale.org/quienes-somos/",""
"Asociación Andaluza Educanda","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Centro Socio Cultural Zaidín","Granada","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://csczaidin.wordpress.com/contacto/","N/A","Solo tel/WhatsApp"
"Asociación Juvenil La Ventanita","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Acaece","Almería (probable)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación El Sur de Europa","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Arte Terapia Minarai","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Cultural La Biznaga Blanca","Málaga","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","acbiznaga@gmail.com","labiznagablanca.es / registro municipal Málaga","labiznagablanca.es","Certificado web caducado"
"Asociación Recreo","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Cultural Boudicca","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Maricuir - Xarxa Cuir del Marítim","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://maricuir.es/","N/A","Solo formulario de contacto"
"Asociación Creant Europa","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@creanteuropa.com","https://creanteuropa.com/","https://creanteuropa.com/",""
"Asociación Pilcrow","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","office@pilcrow.es","https://www.pilcrow.es/","https://www.pilcrow.es/","Alt: projects@pilcrow.es"
"Asociación Cultural Fetén","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacionfeten@gmail.com","https://www.hacesfalta.org/transparencia-ong/asociacion-cultural-feten/detalle/20212","https://www.hacesfalta.org/transparencia-ong/asociacion-cultural-feten/detalle/20212",""
"Asociación Artística Te Encuentro","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Sin web/registro localizable"
"Club Futbol Sala Bisontes Castellón","Castellón de la Plana","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","club@bisontescastellon.com","http://www.bisontescastellon.com/informacion-general/","http://www.bisontescastellon.com/informacion-general/",""
"Club Atlético Caudiel","Caudiel, Castellón","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://clubatleticocaudiel.com/","N/A",""
"Club Deportivo Magic de Castelló","Castellón de la Plana","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://solo-futsal.es/tercera-division-futbol-sala-grupo-14-comunidad-valenciana/clubs/3276-cd-magic-de-castello","N/A",""
"Kali Yag - Asociación por los Derechos de la Cultura Romaní","Paterna, Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","kali-yag@hotmail.com","https://kaliyag.com/","https://kaliyag.com/",""
"Asociación Ágora Cultural","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación Promesas (metodologías educativas)","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación por la Resiliencia Rural del Alto Mijares","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Club Mediterranean Beach Volley","Grau de Castelló","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@medbeachvolley.com","https://medbeachvolley.com/","https://medbeachvolley.com/",""
"Club de Fútbol Sorinthule Football Pro Burriana","Burriana, Castellón","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","footballproburriana@gmail.com","https://footballproburriana.com/","https://footballproburriana.com/",""
"Fundación La Vila es Bella","La Vila Joiosa, Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","presidente@fundacionlavilaesbella.com","https://fundacionlavilaesbella.com/","https://fundacionlavilaesbella.com/","Página /contacto directa dio 404, confirmar antes de usar"
"Asociación Empresarial L'Alqueria Projectes Educatius (ALPE)","Guadassuar, Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@alqueriaeducatius.org","https://www.alqueriaeducatius.org/contact/","https://www.alqueriaeducatius.org/contact/",""
"AVAL Asperger","Valencia (probable)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.avalatea.com/","N/A","Solo formulario/Instagram"
"ASEID - Asociación para el Empleo, la Inclusión y el Desarrollo","Alcoy, Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","aseidasociacion@gmail.com","https://aseid.es/en/","https://aseid.es/en/",""
"Asociación Cultural Diemal","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@diemal.org","http://diemal.es/contacto/","http://diemal.es/contacto/",""
